Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 1178 | Công ty TNHH Theodore Alexander HCM | Lô 50-57, đường số 1 KCX Linh Trung 2, phường Bình Chiểu, thành phố Thủ Đức, thành phố Hồ Chí Minh | Đồ trang trí nội thất | 1.465 |
| 1179 | Công ty TNHH MTV Tổng Công ty 28 | Số 03 Nguyễn Oanh, phường 10, quận Gò vấp, thành phố Hồ Chí Minh | May trang phục (trừ trang phục từ da lông thú) | 3.278 |
| 1180 | Công ty TNHH Mercedes-Benz Việt Nam | Số 693 Quang Trung, phường 12, quận Gò vấp, thành phố Hồ Chí Minh | Sản xuất phương tiện và thiết bị vận tải khác chưa được phân vào đâu | 1.192 |
| 1181 | Công ty Cổ phần Đầu tư Xuất nhập khẩu Nam Việt | 17/6A Phan Huy Ích, phường 14, quận Gò vấp, thành phố Hồ Chí Minh | Buôn bán và xử lí làm sạch các sản phẩm dệt, lông thú | 2.492 |
| 1182 | Công ty TNHH May và thương mại Thạch Bình | 17/6A Phan Huy Ích, phường 14, quận Gò vấp, thành phố Hồ Chí Minh | Sản xuất khác chưa phân vào đâu | 2.002 |
| 1183 | Công ty Cổ phần Việt Nam kỹ thật công nghệ Súc Sản | Số 420 Nơ Trang Long, phường 13, quận Bình Thạnh, thành phố Hồ Chí Minh | Sản xuất chế biến thực phẩm | 2.271 |
| 1184 | Trạm bơm lưu vực nhiêu lộc Thị Nghè - Công ty TNHH MTV thoát nước đô thị | Số 10 Nguyễn Hữu Cảnh, Phường 19, Quận Bình Thạnh | khai thác, xử lý và cung cấp nước | 1.681 |
| 1185 | Công ty TNHH Pouyuen Việt Nam | D10/89 Quốc lộ 1A, phường Tân Tạo, quận Bình Tân, thành phố Hồ Chí Minh | Sửa chữa giày, dép, hàng da và giả da | 33.012 |
| 1186 | Công ty Cổ phần Sản xuất Nhựa Duy Tân | Số 298 Hồ Học Lãm, phường An Lạc, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất các sản phẩm từ plastic | 5.722 |
| 1187 | Công ty TNHH Nhựa Long Thành | Số 135A Hồ Học Lãm, phường An Lạc, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất các sản phẩm từ plastic | 2.777 |
| 1188 | Công ty TNHH RKW Việt Nam | Lô 22, Đường số 3, KCN Tân Tạo, P. Tân Tạo, Quận Bình Tân | Sản xuất các sản phẩm từ plastic | 3.646 |
| 1189 | Công ty TNHH Việt Nam Paiho | Lô 30, 32 đường số 3, KCN Tân Tạo, phường Tân Tạo A, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất sợi | 1.945 |
| 1190 | Chi nhánh Công ty cổ phần Đại Đồng Tiến | Số 948 Hương lộ 2, phường Bình trị Đông A, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất các sản phẩm từ plastic | 1.831 |
| 1191 | Công ty TNHH Sản xuất - Thương mại - Dịch vụ Thịnh Khang | Lô số 14, 16 đường số 3, KCN Tân Tạo, phường Tân Tạo A, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất các sản phẩm từ plastic | 2.814 |
| 1192 | Công ty TNHH Nhựa Tân Lập Thành | Số 19 Triệu Quang Phục, phường 10, quận 5, thành phố Hồ Chí Minh | Sản xuất các sản phẩm từ plastic | 1.205 |
| 1193 | Công ty TNHH đầu tư kinh doanh Phương Oanh | Số 10/10 quốc lộ 1A, khu phố 3, phường Bình Hưng Hòa B, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất sản phẩm từ kim loại đúc sẵn (trừ máy móc, thiết bị) | 1.873 |
| 1194 | Công ty Cổ phần Kim Loại MGK | Lô số 17 Đường số 8, KCN Tân Tạo, phường Tân Tạo A, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất sản phẩm kim loại | 2.550 |
| 1195 | Công ty TNHH Xuất nhập khẩu Thải Hồng | 258 Trần Đại Nghĩa, khu phố 4, phường Tân Tạo A, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất đồ nhựa gia dụng | 1.500 |
| 1196 | Công ty TNHH Sản xuất- Thương mại - Dịch vụ Nhựa Tân Hiệp Hưng | Lô 28B Đường số 7, KCN Tân Tạo, phường Tân Tạo A, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất đồ nhựa gia dụng | 1.235 |
| 1197 | Công ty TNHH Sản xuất - thương mại Nam Thiên Long | Lô 6,8,10,12, Đường số 3, KCN Tân Tạo, Phường Tân Tạo A, Quận Bình Tân | Sản xuất đồ nhựa gia dụng | 1.681 |
| 1198 | Công ty TNHH New Hope thành phố Hồ Chí Minh | Lô B17/I, B19/Ii, B20/Ii, Đường 2A, KCN Vĩnh Lộc, Phường Bình Hưng Hòa B, Quận Bình Tân | Chế biến thực phẩm | 1.268 |
| 1199 | Công ty TNHH Châu Á | Lô 24-30, Đường số 1 KCN Tân Tạo, Phường Tân Tạo A, Quận Bình Tân | Sản phẩm kim loại | 1.156 |
| 1200 | Công ty TNHH Sản xuất - Thương mại - Dịch vụ Qui Phúc | 111/39/4 Tây Lân, khu phố 3, Phường Tân Tạo, Quận Bình Tân | sản xuất mặt hàng nhựa- inox | 1.510 |
| 1201 | Chi nhánh Công ty TNHH Tân Tiến Senko | Lô 14, 16A đường C KCN Tân Tạo, khu phố 2, phường Tân Tạo A, quận Bình Tân, thành phố Hồ Chí Minh | Sản xuất đồ điện dân dụng | 1.060 |
| 1202 | Hộ kinh doanh Khải Hoa | 1870/1/98/1A/22, tỉnh lộ 10, Kp1, Phường Tân Tạo, Quận Bình Tân | sản phẩm nhựa | 1.730 |
| 1203 | Tổng công ty mạng lưới Viettel - chi nhánh trung tâm viễn thông quân đội | Số 158/2A Hoàng Hoa Thám, Phường 12, Quận Tân Bình | viễn thông | 7.934 |
| 1204 | Công ty TNHH MTV Dệt may 7 | 109A Trần Văn Dư, phường 13, quận Tân Bình, thành phố Hồ Chí Minh | Sản xuất hàng may mặc (Trừ trang phục) | 1.966 |
| 1205 | Công ty Cổ phần dệt may đầu tư thương mại Thành Công | Số 36 Tây Thạnh, phường Tây Thạnh, quận Tân Phú, thành phố Hồ Chí Minh | Sản xuất sợi | 5.717 |
| 1206 | Công ty Cổ phần Bao Bì Nhựa Tân Tiến | Lô II, 4, 5, 10, 11 đường số 13, nhóm CN II, KCN Tân Bình, phường Tây Thạnh, quận Tân Phú, thành phố Hồ Chí Minh | Sản xuất bao bì từ nhựa | 3.938 |
| 1207 | Công ty Cổ phần Acecook Việt Nam | Lô II,4, đường số 8, nhóm CN II, KCN Tân Bình, phường Tây Thạnh, quận Tân Phú, thành phố Hồ Chí Minh | Sản xuất chế biến thực phẩm | 4.095 |
| 1208 | Công ty Cổ phần Kỹ Nghệ thực phẩm Việt Nam | 913 Trường Chinh, Phường Tây Thạnh, Quận Tân Phú | Sản xuất chế biến thực phẩm | 1.792 |
| 1209 | Công ty TNHH sản xuất CONSTANTIA  Việt Nam | Lô III, 6, nhóm CN3, đường số 11, KCN Tân Bình, phường Tây Thạnh, quận Tân Phú, thành phố Hồ Chí Minh | Sản xuất các sản phẩm từ cao su và nhựa các loại | 1.149 |
| 1210 | Công ty TNHH Việt Nam Samho | Số 1243 Tỉnh lộ 8, ấp Thạch An, xã Trung An, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất giày dép | 6.787 |
| 1211 | Công ty Cổ phần Sợi Thế Kỷ | B1,1 KCN Tây Bắc, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất sợi | 4.489 |
| 1212 | Chi nhánh Tổng Công ty cổ phần Bia rượu NGK Sài Gòn - Nhà máy Bia Sài Gòn Củ Chi | Khu C1, đường D3, KCN Tây Bắc, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất bia và mạch nha ủ men bia | 2.952 |
| 1213 | Công ty TNHH Woodworth Wooden (VN) | Tỉnh lộ 8, Ấp 12, xã Tân Thạch Đông, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất các sản phẩm khác từ gỗ | 1.871 |
| 1214 | Công ty TNHH Quốc tế Unilever Viet Nam | Lô số A2, 3, KCN Tây Bắc, huyện Củ Chi, thành phố Hồ Chí Minh | Bán lẻ nước hoa, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh | 3.594 |
| 1215 | Tổng Công ty cấp nước Sài Gòn- Trách nhiệm hữu hạn MTV | Ấp 2, xã Hòa Phú, Huyện Củ Chi | khai thác, xử lý và cung cấp nước | 3.397 |
| 1216 | Công ty Cổ phần thực phẩm đông lạnh KIDO | LO A2-7, Đường số N4, KCN Tây Bắc Củ Chi, Ấp Cây Sộp, Xã Tân An Hội, Huyện Củ Chi | sản xuất thực phẩm khác chưa phân vào đâu | 2.722 |
| 1217 | Chi nhánh Công ty cổ phần Công nghiệp Dịch vụ thương mại Ngọc Nghĩa - Nhà máy Nhựa số 2 | Lô số B1,8, KCN Tây Bắc Củ Chi, xã Tân An Hội, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất sản phẩm từ plastic | 4.851 |
| 1218 | Công ty TNHH Hansae Việt Nam | Lô D1 và D2, KCN Tây Bắc Củ chi, Huyện Củ Chi | May trang phục (trừ trang phục từ da lông thú) | 1.241 |
| 1219 | Công ty TNHH Taisun Việt Nam | Lô A1,6 đường số N5, KCN Tây Bắc, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất giấy và sản phẩm từ giấy | 1.096 |
| 1220 | Công ty TNHH Hoàn Vũ Việt Nam | Số 297 đường Lê Minh Nhựt, ấp Xóm Huế, Xã Tân An Hội, Huyện Củ Chi | sản xuất thực phẩm khác chưa phân vào đâu | 1.599 |
| 1221 | Công ty Cổ phần Bông Thiên Hà | Lô C4, 2, đường N8, KCN Tân Phú Trung, xã Tân Phú Trung, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất sợi | 2.114 |
| 1222 | Công ty TNHH L.S PACK | Loô A2-2 KCN Tây Bắc Củ Chi, Ấp Bàu Tre 2, Xã Tân An Hội, Huyện Củ Chi | sản xuất mỹ phẩm | 1.024 |
| 1223 | Công ty Cổ phần Kỹ nghệ Đô Thành | Ấp 12, xã Tân Thạnh Đông, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất từ nhựa, plastic | 1.307 |
| 1224 | Chi nhánh Dây cáp điện Xe Ôtô Công ty TNHH Yazaki Eds Việt Nam | Lô C3, 2, khu C3, KCN Tân Phú Trung, xã Tân Phú Trung, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất dây cáp điện cho ô tô | 1.389 |
| 1225 | Công ty Cổ phần cấp nước Kênh Đông | Ấp Thượng, Xã Tân Thông Hội, Huyện Củ Chi | khai thác, xử lý và cung cấp nước | 1.569 |
| 1226 | Công ty TNHH Bao bì Alpha (VN) | Lô B2-B4, Đường D4, KCN Đông Nam, Xã Hòa Phú, Huyện Củ Chi | Bao bì | 1.681 |
| 1227 | Công ty TNHH Worldon (VN) | Lô D1, đường D4, KCN Đông Nam, xã Hòa Phú, huyện Củ Chi, thành phố Hồ Chí Minh | Sản xuất hàng may mặc (Trừ trang phục) | 6.385 |
| 1228 | Công ty TNHH sản xuất First Solar VN | Lô A1- A2, Đường D10, KCN Đông Nam, Xã Bình Mỹ, Huyện Củ Chi | Pin Solar | 49.141 |
| 1229 | Công ty TNHH Sheico Việt Nam | Lô L1, đường N5, KCN Đông Nam, xã Bình Mỹ, huyện Củ Chi, thành phố Hồ Chí Minh | May mặc | 1.823 |
| 1230 | Công ty TNHH một thành viên cao su Thống Nhật | Ấp 12, xã Tân Thạnh Đông, huyện Củ Chi | sản xuất cao su, nhựa | 1.898 |
| 1231 | Cổ phầnV FOOD Củ Chi | Lô C4-3 Đường D5 và Lô C4-4, Đường N10 KCN Tân Phú Trung, Xã Tân Phú Trung, Huyện Củ Chi | Sản xuất, chế biến thực phẩm | 1.617 |
| 1232 | Công ty TNHH Việt Nam Paiho | Lô 30-32-34 đường số 3, KCN Tân Tạo, phường Tân Tạo A, quận Bình Tân, thành phố Hồ Chí Minh | sản xuất dệt nhuộm | 1.702 |
| 1233 | Công ty TNHH MTV Thuốc lá Sài Gòn | Lô C45/1, C50/1 đường số 7, KCN Vĩnh Lộc, huyện Bình Chánh, thành phố Hồ Chí Minh | Sản xuất thuốc lá | 5.484 |
| 1234 | Công ty Cổ phần Sài Gòn Food (Đổi tên từ công ty Cổ phần Hải Sản S.G (Saigon Fisco)) | Lô C24, 24B/II, Đường 2F, KCN Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh | sản xuất thực phẩm khác chưa phân vào đâu | 2.368 |
| 1235 | Công ty TNHH thực phẩm Vạn Đức | C27/II đường số 2 KCN Vĩnh Lộc, huyện Bình Chánh, thành phố Hồ Chí Minh | Sản xuất chế biến thực phẩm | 1.404 |
| 1236 | Công ty TNHH sản xuất thương mại nhựa Nguyễn Thái Bình | G8/19A, Ấp 7 Xã Lê Minh Xuân, Huyện Bình Chánh | Sản xuất đồ nhựa | 1.720 |
| 1237 | Công ty Cổ phần thực phẩm CHOLIMEX | Lô C40, 51, Đường 7 KCN Vĩnh Lộc, xã Vĩnh Lộc A, huyện Bình Chánh | chế biến, bảo quản thủy sản và các sản phẩm từ thủy sản | 1.571 |
| 1238 | Công ty Cổ phần Sản xuất thương mại Kỳ Phát | Lô C8/II, C9/II, C9B/II đường số 2E KCN Vĩnh Lộc, xã Vĩnh Lộc A, huyện Bình Chánh, thành phố Hồ Chí Minh | Sản xuất sắt, thép | 2.766 |
| 1239 | Công ty TNHH giấy A.F.C | C6/4C ấp 3, xã Vĩnh Lộc B, huyện Bình Chánh | Sản xuất giấy | 2.258 |
| 1240 | Công ty Cổ phần Sài Gòn Food | Lô C24, 24B/II, Đường 2F, KCN Vĩnh Lộc, Xã Vĩnh Lộc A, Huyện Bình Chánh | sản xuất thuốc lá | 2.368 |
| 1241 | Công ty phá triển kinh tế Duyên Hải (Confidec) | Lô C44/I, C44B/I, C56/Ii, C57/Ii, KCN Vĩnh Lộc, đường số 7 xã Vĩnh Lộc A, huyện Bình Chánh | thực phẩm đông lạnh | 2.255 |
| 1242 | Công ty Cổ phần Shang One Việt Nam | Lô H2-H4 Đường số 1, KCN LÊ Minh Xuân, xã Lê Minh Xuân, huyện Bình Chánh | sản xuấtr | 3.238 |
| 1243 | Công ty TNHH Nhựa Sunway Mario | E9/58A An Phú Tây Ấp 5, xã Hưng Long, huyện Bình Chánh, thành phố Hồ Chí Minh | Sản xuất hạt nhựa | 1.431 |
| 1244 | Công ty TNHH nhựa sản xuất thương mại Mỹ Toàn | 2C32-2C34 Ấp 2, xã Phạm Văn Hai, huyện Bình Chánh | Sản xuất đồ nhựa | 1.123 |
| 1245 | Công ty TNHH Vĩ Kiệt | C11/2A Ấp 3, xã Tân Trúc, huyện Bình Chánh | sản xuất sản phẩm cơ khí (kim loại) | 1.318 |
| 1246 | Chi nhánh công ty Cổ phần xi măng Thăng Long | Lô A3, KCN Hiệp Phước, xã Long Thới, huyện Nhà Bè | SX các sp phi kim loại | 3.892 |
| 1247 | Chi nhánh công ty TNHH CALOFIC tại Hiệp Phước, TP.HCM | Lô C21 và Lô C18-C24, KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè | Chế biến thực phẩm | 4.649 |
| 1248 | Chi nhánh công ty xi măng CHINFON - nhà máy nghiền CLINKER Hiệp Phước | Lô A7, KCN Hiệp Phước, xã Long Thới, huyện Nhà Bè | SX các sản phẩm phi kim loại | 2.073 |
| 1249 | Chi nhánh Tổng công ty máy động lực và máy nông nghiệp VN CTCổ phần - Nhà máy đúc | Lô B15, Đường số 12, KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè | SX kim loại | 2.224 |
| 1250 | Công ty Cổ phần thép Á Châu | Lô B6 KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè | SX kim loại | 8.070 |
| 1251 | Công ty Cổ phần xi măng FICO Tây Ninh | Lô A5B KCN Hiệp Phước, xã Long Thới, huyện Nhà Bè | SX các sản phẩm phi kim loại | 3.906 |
| 1252 | Công ty TNHH Giấy Xuân Mai | Lô C6 KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè, thành phố Hồ Chí Minh | Sản xuất giấy và sản phẩm từ giấy | 8.311 |
| 1253 | Công ty TNHH KNAUF GYPSUM | Lô B3a, KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè | SX các sản phẩm phi kim loại | 1.224 |
| 1254 | Công ty TNHH MTV xi măng Hạ Long | Lô C25, KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè | SX các sản phẩm phi kim loại | 7.528 |
| 1255 | Công ty TNHH phân bón Hàn - Việt | Lô 10b, Đường D3, KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè | SX hóa chất, phân bón | 1.673 |
| 1256 | Công ty TNHH thực phẩm DARY | Lô D4 đường N1, KCN Hiệp Phước, xã Hiệp Phước, huyện Nhà Bè | chế biến thực phẩm | 1.135 |
| 1257 | Công ty TNHH thực phẩm xuất khẩu Hai Thanh | Lô A14A, KCN Hiệp Phước, xã Long Thới, huyện Nhà Bè | Chế biến thực phẩm | 1.259 |
| 1258 | Công ty TNHH SIAM CITY CEMENT (Việt Nam) | Lô A1, KCN Hiệp Phước, Xã Long Thới, huyện Nhà Bè | SX các phi kim loại | 4.555 |
| 1259 | Công ty TNHH sản xuất Hiệp Phước Thành | Lô A4C, KCN Hiệp Phước, xã Long Thới, huyện Nhà Bè | SX các sản phẩm từ cao su và nhựa | 1.405 |
| 1260 | Công ty Cổ phần đầu tư Nước Tân Hiệp | 64 ấp Thới Tây 1, Xã Tân Hiệp, Huyện Hóc Môn | khai thác, lọc và phân phối nước | 1.474 |
| 1261 | Tổng Công ty cấp nước Sài Gòn | Ấp Thới Tây 1, xã Tân Hiệp, huyện Hóc Môn | khai thác, lọc và phân phối nước | 2.593 |
| 1262 | Công ty TNHH thương mại dịch vụ thiết bị Hướng Dương | KCDC Cát Lái 62, 2ha Đường Nguyễn Thị Định, Phương Cát Lái, TP Thủ Đức | Các ngành công nghiệp khác | 1.931 |
| 2. Tỉnh Bà Rịa - Vũng Tàu |
| 1263 | Cảng liên doanh Việt Nga VietsovPetro | Số 73 đường 30/4, phường 9, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu | Khai thác dầu thô và khí đốt tự nhiên | 2.037 |
| 1264 | Công ty Cổ phần CNG Việt Nam | Đường 15, KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất khí đốt, phân phối nhiên liệu khí bằng đường ống | 6.453 |
| 1265 | Công ty TNHH Linde Việt Nam | Đường D3, KCN Phú Mỹ II, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất khí đốt, phân phối nhiên liệu khí bằng đường ống | 21.587 |
| 1266 | Liên doanh Việt - Nga VietsovPetro | Số 105, đường Lê Lợi, thành phố Vũng Tàu, tỉnh Bà Rịa-Vũng Tàu | Khai thác dầu thô và khí đốt tự nhiên | 4.476 |
| 1267 | Công ty Nhiệt điện Phú Mỹ | KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất điện | 1.965.845 |
| 1268 | Nhà máy điện Phú Mỹ BOT 2.2 | Phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất điện | 755.291 |
| 1269 | Công ty Cổ phần Nhiệt điện Bà Rịa | Khu phố Hương Giang, phường Long Hương, thành phố Bà Rịa, tỉnh Bà Rịa - Vũng Tàu | Sản xuất điện | 36.467 |
| 1270 | Công ty TNHH Sản xuất Giày Uy Việt | KCN Đông Xuyên, phường Rạch Dừa, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu | Sản xuất giày dép | 1.880 |
| 1271 | Công ty TNHH Vũ Chân | KCN Mỹ Xuân, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sợi | 2.747 |
| 1272 | Công ty TNHH Dệt Tah Tong Việt Nam | KCN Mỹ Xuân B1, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sợi | 4.491 |
| 1273 | Công ty TNHH San Fang Việt Nam | Lô II,4 KCN Mỹ Xuân A2, phường Mỹ Xuân, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sợi | 23.243 |
| 1274 | Công ty Cổ phần Tong Hong Tannery Việt Nam | Lô II, 1, KCN Mỹ Xuân A2, phường Mỹ Xuân, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm | 114.543 |
| 1275 | Công ty TNHH Haosheng Vina | KCN Mỹ Xuân A2, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sợi | 10.556 |
| 1276 | Công ty TNHH Eclat Fabrics Việt Nam | KCN Mỹ Xuân A2, phường Mỹ Xuân, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sợi | 21.502 |
| 1277 | Công ty Cổ phần Giấy Sài Gòn | KCN Mỹ Xuân A, phường Mỹ Xuân, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất giấy và sản phẩm từ giấy | 52.613 |
| 1278 | Công ty Cổ phần FA | KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất hóa chất | 1.236 |
| 1279 | Công ty TNHH Hóa chất Hyosung Vina | Lô 01CN-08CN, KCN Cái Mép, phường Tân Phước, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất hóa chất | 123.585 |
| 1280 | Công ty TNHH Baconco Chi nhánh Phú Mỹ | KCN Phú Mỹ I, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất phân bón và hợp chất ni tơ | 3.008 |
| 1281 | Chi nhánh Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần - Nhà máy Đạm Phú Mỹ | KCN Phú Mỹ I, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất phân bón và hợp chất ni tơ | 218.401 |
| 1282 | Công ty TNHH Starflex Việt Nam | Cụm công nghiệp Tóc Tiên, xã Tóc Tiên, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sản phẩm từ nhựa | 4.515 |
| 1283 | Công ty TNHH Hóa chất AGC Việt Nam | KCN Cái Mép, phường Tân Phước, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất nhựa và cao su tổng hợp dạng nguyên sinh | 13.194 |
| 1284 | Công ty TNHH Vard Vũng Tàu | KCN Đông Xuyên, phường Rạch Dừa, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu | Đóng tàu và cấu kiện nổi | 3.515 |
| 1285 | Công ty TNHH Quốc tế All Well Việt Nam | Đường số 81, xã Tóc Tiên, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu | 2.251 |
| 1286 | Công ty TNHH Thép Sóng Thần | Đường số 3, KCN Mỹ Xuân A, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất các cấu kiện kim loại | 1.780 |
| 1287 | Công ty TNHH MTV Dịch vụ Cơ khí Hàng Hải PTSC | Số 31, đường 30/4, phường 9, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu | Lắp đặt máy móc và thiết bị công nghiệp | 1.275 |
| 1288 | Công ty TNHH Đông Phương Vũng Tàu | Đường số 11, KCN Đông Xuyên, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu | Sản xuất dụng cụ thể dục, thể thao | 2.533 |
| 1289 | Công ty Cổ phần Dịch vụ Lắp đặt, vận hành và bảo dưỡng công trình Dầu khí Biển PTSC | Số 65A, đường 30/4, phường Thắng Nhất, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu | Vận hành, bảo dưỡng các công trình dầu khí và công nghiệp khác | 1096 |
| 1290 | Công ty TNHH CS Wind Việt Nam | KCN Phú Mỹ 1, phường Phú Mỹ, phường Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu | 2.412 |
| 1291 | Công ty TNHH Air Water Việt Nam | KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sản phẩm dầu mỏ tinh chế | 6.067 |
| 1292 | Chi nhánh Công ty TNHH thủy tinh Malaya - Việt Nam | KCN Mỹ Xuân A, phường Mỹ Xuân, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất thủy tinh và sản phẩm từ thủy tinh | 18.104 |
| 1293 | Chi nhánh Công ty TNHH Kính NSG Việt Nam | KCN Mỹ Xuân, phường Phú Mỹ, phường Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất thủy tinh và sản phẩm từ thủy tinh | 71.811 |
| 1294 | Công ty Dầu khí Nhật - Việt | Tầng 7 Tòa nhà dầu khí, số 8 Hoàng Diệu, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sản phẩm dầu mỏ tinh chế | 59.239 |
| 1295 | Công ty TNHH Liên doanh Ống Thép Sendo | Đường 1A, KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sắt, thép, gang | 1.388 |
| 1296 | Công ty Cổ phần Thép tấm lá Thống Nhất | KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sắt, thép, gang | 2.113 |
| 1297 | Công ty Cổ phần Thương mại và Sản xuất tôn Tân Phước Khanh | KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sắt, thép, gang | 1.454 |
| 1298 | Công ty TNHH Bluescope Việt Nam | KCN Phú Mỹ 1, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sắt, thép, gang | 8.456 |
| 1299 | Công ty TNHH MTV Thép tấm lá Phú Mỹ | KCN Phú Mỹ I, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sắt, thép, gang | 1.454 |
| 1300 | Công ty TNHH Thép SMC | Đường 1B, KCN Phú Mỹ 1, phường Phú Mỹ, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sắt, thép, gang | 5.331 |
| 1301 | Công ty TNHH Nhôm Toàn cầu Việt Nam | KCN Mỹ Xuân B1, thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu | Sản xuất sắt, thép, gang | 8.355 |
