Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 43 | Công ty cổ phần vật liệu xây dựng Vĩnh Thịnh Phú Thọ | Khu 5, xã Dân Quyền, huyện Tam Nông, tỉnh Phú Thọ | Sản xuất vật liệu xây dựng | 1.855 |
| 44 | Công ty cổ phần Takao Granite | Xã Thanh Uyên, huyện Tam Nông, tỉnh Phú Thọ | Sản xuất kinh doanh gạch ốp lát cao cấp | 4.831 |
| 45 | Công ty TNHH MTV Gia Cầm Hoà Phát Phú Thọ | Khu Vạn Thắng, xã Đồng Lương, huyện Cẩm Khê, tỉnh Phú Thọ | Chăn nuôi gà | 1.217 |
| 2. Tỉnh Hà Giang |
| 46 | Công ty Cổ phần hợp kim sắt Hà Giang | Khu công nghiệp Bình Vàng, thôn Làng Trần, Xã Đạo Đức, Huyện Vị Xuyên; | Sản xuất công nghiệp | 11.185 |
|  |  | Điện thoại: 0912805315 |  |  |
| 47 | Công ty cổ phần đầu tư khoáng sản An Thông (Nhà máykhai thác và chế biến mỏ quặng sắt Tùng Bá, xã Tùng Bá, huyện Vị Xuyên, tỉnh Hà Giang | Số 415, đường Trần Phú, TP Hà Giang, tỉnh Hà Giang | Sản xuất công nghiệp | 1.816 |
|  |  |  |  |  |
| 48 | Công ty cổ phần đầu tư khoáng sản An thông (Nhà máy khai thác và chế biến mỏ quặng sắt Sàng Thần, xã Minh Sơn, huyện Bắc Mê, tỉnh Hà Giang) | Số 415, đường Trần Phú, TP Hà Giang, tỉnh Hà Giang | Sản xuất công nghiệp | 3.013 |
|  |  |  |  |  |
| 49 | Công ty cổ phần khai thác và chế biến khoáng sản Nam Lương (Nhà máy khai thác và chế biến mỏ quặng sắt Nam Lương, xã Thuận Hoà, huyện Vị Xuyên, tỉnh Hà Giang) | Tòa nhà A2, Khu Hà Trung, Phường Quang Trung, TP Hà Giang, tỉnh Hà Giang | Sản xuất công nghiệp | 1.131 |
|  |  |  |  |  |
| 3. Tỉnh Tuyên Quang |
| 50 | Công ty cổ phần Giấy An Hoà | Xã Vĩnh Lơik, huyện Sơn Dương, tỉnh Tuyên Quang | Sản xuất bột giấy và giấy | 59.974,93 |
| 51 | Công ty TNHH Gang thép Tuyên Quang | Khu công nghiệp Long Bình An – Phường Đội Cấn – Thành phố Tuyên Quang | Thép, phôi thép | 76.028,99 |
| 52 | Công ty TNHH MTV cơ khí – Hoá chất 13 | Tổ 22, phường Đội Cấn, thành phố Tuyên Quang, tỉnh Tuyên Quang | Sản xuất cơ khí, hóa chất | 4.359,47 |
| 53 | Công ty cổ phần Woodsland Tuyên Quang | Cụm công nghiệp Thắng Quân, thị trấn Yên Sơn, Tuyên Quang | Sản xuất đồ gỗ xuất khẩu | 1.891,44 |
| 54 | Nhà máy gạch tuynel công nghệ cao Tuyên Quang | Xã Tràng Đà, thành phố Tuyên Quang | Gạch nung tuynel | 9.450,39 |
| 55 | Nhà máy gạch tuynel Viên Châu | Phường An Tường, thành phố Tuyên Quang | Gạch tuynel | 2.577,45 |
| 56 | Nhà máy sản xuất gạch đất sét nung thuộc Công ty TNHH Long Thắng | Xã Ninh Lai, huyện Sơn Dương, tỉnh Tuyên Quang | Gạch tuynel | 9.495,62 |
| 57 | Nhà máy gạch tuynel Thái Sơn | Xã Thái Sơn, huyện Hàm Yên, tỉnh Tuyên Quang | Gạch tuynel | 2.008,42 |
| 4. Tỉnh Cao Bằng |
| 58 | Nhà máy gạch Tuynel - Công ty cổ phần sản xuất vật liệu xây dựng Cao Bằng | Phường Ngọc Xuân, thành phố Cao Bằng, tỉnh Cao Bằng | Sản xuất gạch | 9.047 |
| 59 | Nhà máy gạch Tuynel - Công ty cổ phần gốm Tân Phong (trước đây là Công ty cổ phần Gốm - Xây dựng Nam Phong) | Xóm Nam Phong I, xã Hưng Đạo, thành phố Cao Bằng, tỉnh Cao Bằng | Sản xuất gạch | 3.335 |
| 60 | Công ty TNHH CKC - Nhà máy Tuyển nổi Chì - kẽm xóm Lạng Cá, thị trấn Pác Miầu, huyện Bảo Lâm | Xóm Lạng Cá, thị trấn Pác Miầu, huyện Bảo Lâm, tỉnh Cao Bằng | Tuyển nổi chì - kẽm | 1.364 |
| 61 | Công ty Cổ phần Gang thép Cao Bằng - Tổng công ty khoáng sản - TKV | Số 052 phố Kim Đồng, phường Hợp Giang, TP Cao Bằng, tỉnh Cao Bằng | Sản xuất gang đúc, phôi thép | 33.411 |
| 62 | Công ty Cổ phần khoáng sản Nikko Việt Nam | Xóm Lũng Sặp, xã Quốc Toản, huyện Quảng Hòa, tỉnh Cao Bằng | Khai thác chế biến khoáng sản | 7.775 |
| 5. Tỉnh Thái Nguyên |
| 63 | Công ty Cổ phần phụ tùng máy số 1 | đường 3/2 tổ 10, phường Mỏ Chè, TP Sông Công | Sản xuất công nghiệp | 3.953 |
| 64 | Công ty Cổ phần giấy Hoàng Văn Thụ | phường Quán Triều, TP Thái Nguyên, | Sản xuất công nghiệp | 5.397 |
| 65 | Công ty Cổ phần Kim loại màu Thái Nguyên | phường Phú Xá, TP Thái Nguyên | Sản xuất công nghiệp | 21.703 |
| 66 | Công ty Cổ phần cơ khí Phổ Yên | thị trấn Bãi Bông, TX Phổ Yên | Sản xuất công nghiệp | 2.198 |
| 67 | Công ty Diesel Sông Công | 362, đường CMT10, phường Lương Châu, TP Sông Công | Sản xuất công nghiệp | 4.420 |
| 68 | Công ty TNHH Hansol Electronics VN | KCN Yên Bình, phường Đồng Tiến, TX Phổ Yên | Sản xuất công nghiệp | 7.347 |
| 69 | Công ty TNHH Samsung electro mechanics VN | KCN Yên Bình, phường Đồng Tiến, TX Phổ Yên | Sản xuất công nghiệp | 18.583 |
| 70 | Công ty Cổ phần nhiệt điện An Khánh | tổ 22 phường Quang Trung, tp Thái Nguyên | Sản xuất công nghiệp | 255.434 |
| 71 | Công ty nhiệt điện Cao Ngạn | phường Quan Triều, tp Thái Nguyên, | Sản xuất công nghiệp | 575.706 |
| 72 | Công ty Cổ phần Gang Thép Thái Nguyên | phường Cam Giá, tp Thái Nguyên | Sản xuất công nghiệp | 118.929 |
| 73 | Công ty than Khánh Hòa | xã Sơn Cẩm, tp Thái Nguyên | Sản xuất công nghiệp | 9.225 |
| 74 | Công ty Cổ phần xi măng quán triều | xã An Khánh huyện Đại Từ, tỉnh Thái Nguyên | Sản xuất công nghiệp | 68.763 |
| 75 | Công ty TNHH MTV xi măng Quang Sơn | thôn Đồng Thu, xã Quang Sơn, Đồng Hỷ | Sản xuất công nghiệp | 8.286 |
| 76 | Công ty Cổ phần xi măng La Hiên | xóm Cây Bòng, xã La Hiên, Võ Nhai | Sản xuất công nghiệp | 12.526 |
| 77 | Công ty TNHH chế biến khoáng sản Núi Pháo | xóm 2, xã Hà Thượng, Đại Từ | Sản xuất công nghiệp | 25.438 |
| 78 | Công ty TNHH Tinh luyện Vonfram Núi Pháo | Xóm 2, xã Hà Thượng, huyện Đại Từ | Sản xuất công nghiệp | 7.470 |
| 79 | Công ty Cổ phần Cán thép Thái Trung | Tổ 21 phường Cam Giá, TP Thái Nguyên | Sản xuất công nghiệp | 19.286 |
| 80 | Công ty Trách nhiệm hữu hạn NatsteelVina | Phường Cam Giá, TP Thái Nguyên | Sản xuất công nghiệp | 7.980 |
| 81 | Công ty cổ phần Hợp kim sắt Gang thép Thái Nguyên | Tổ 31 Phường Cam giá, TP Thái Nguyên | Sản xuất công nghiệp | 30.394 |
| 82 | Chi nhánh Công ty Cổ phần Hyundai Aluminum Vina Thái Nguyên | Lô CN6 KCN Điềm Thụy, xã Điềm Thụy, huyện Phú Bình | Sản xuất công nghiệp | 12.811 |
| 83 | Công ty TNHH Mani Hà Nội | Xóm Vàng Xã Tân Hương, TX Phổ Yên | Sản xuất công nghiệp | 1.910 |
| 84 | Cty TNHH xây dựng & PTNT miền núi | 598 đường Thống Nhất, phường Tân Thịnh, TP Thái | Sản xuất công nghiệp | 7.989 |
| 85 | Cty Cổ phần PRIME Phổ Yên | Xã Thuận Thành, TX Phổ Yên | Sản xuất công nghiệp | 23.403 |
| 86 | Công ty TNHH Samsung Electronics Việt Nam Thái Nguyên(SEVT) | KCN Yên Bình, phường Đồng Tiến, TX Phổ Yên | Sản xuất công nghiệp | 189.068 |
| 87 | Công ty Cổ phần đầu tư và thương mại Hiệp Linh | Tổ 11, phường Phú Xá, TP Thái Nguyên | Sản xuất công nghiệp | 12.102 |
| 88 | Công Ty TNHH Hiệp Hương | Khu A,KCN Sông Công 1, Phường Mỏ Chè, TP Sông Công | Sản xuất công nghiệp | 9.176 |
| 89 | Công ty TNHH Hương Đông | Khu B,KCN Sông Công,P Bách Quang,TP Sông Công | Sản xuất công nghiệp | 4.160 |
| 90 | Công ty TNHH Glonics Việt Nam | Số 903, đường 3-2, phường Phú Xá, thành phố Thái Nguyên | Sản xuất công nghiệp | 4.013 |
| 91 | Công ty Cổ phần Đầu tư Xây Dựng và Khai thác Khoáng sản Thăng Long | Số 217 - Đường Bắc Nam - phường Gia Sàng -TP Thái Nguyên | Sản xuất công nghiệp | 2.094 |
| 92 | Công ty Cổ phần luyện Kim đen Thái Nguyên | xã Nam Hòa, huyện Đồng Hỷ | Sản xuất công nghiệp | 128.367 |
| 93 | Công ty Cổ phần cơ khí Gang thép | phường Cam Giá, tp Thái Nguyên | Sản xuất công nghiệp | 11.377 |
| 94 | Công ty Cổ phần khoáng sản và luyện kim Trung Thành ( đổi Tên mới là: Chi nhánh Công ty TNHH khai khoáng Đông Bắc) | Khu B Khu Công nghiệp Sông Công, phường Bách Quang, TP Sông Công | Sản xuất công nghiệp | 12.830 |
