ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NQ 19/2026/NQ-CP,NQ,3,9,attp-sct-vn;hnh-sct-vn;kccn-sct-vn,bvmt-sct-vn;hnh-sct-vn;kccn-sct-vn,,,,,,
NQ 24/2026/NQ-CP,NQ,1,2,xd-sct-vn,hc-sct-vn;xd-sct-vn,,,,,,
NQ 66.13/2026/NQ-CP,NQ,1,2,attp-sct-vn,attp-sct-vn,,,,,,
NQ 66.16/2026/NQ-CP,NQ,1,6,attp-sct-vn,,,,,,,
NQ 66.18/2026/NQ-CP,NQ,5,11,attp-sct-vn;hnh-sct-vn;kccn-sct-vn;kho-vlncn-sct-vn;xd-sct-vn,xd-sct-vn,,,,,,
NQ 66.19/2026/NQ-CP,NQ,3,13,bvmt-sct-vn;kccn-sct-vn;qlks-sct-vn,qlks-sct-vn,,,,,,
NQ 9/2026/NQ-CP,NQ,1,3,attp-sct-vn,,,,,,,
NQ 19/2025/NQ-HĐND,NQ,1,2,kccn-sct-vn,qlks-sct-vn,,,,,,
NQ 2/2025/NQ-CP,NQ,1,1,qlks-sct-vn,kccn-sct-vn;xd-sct-vn,,,,,,
NQ 66.10/2025/NQ-CP,NQ,1,1,kccn-sct-vn,,,,,,,
NQ 66.4/2025/NQ-CP,NQ,1,2,qlks-sct-vn,,,,,,,
NQ 1/NQ-CP,NQ,2,10,bpb-sct-vn;dacn-sct-vn,,,,,,,
NQ 109/NQ-CP,NQ,1,2,dacn-sct-vn,,,,,,,
NQ 122/NQ-CP,NQ,1,2,bvmt-sct-vn,,,,,,,
NQ 168/NQ-CP,NQ,1,1,qlks-sct-vn,,,,,,,
NQ 169/NQ-CP,NQ,2,13,bpb-sct-vn;dacn-sct-vn,,27/6/2026,,,,,Mục tiêu tăng trưởng — dacn-sct-vn
NQ 235/NQ-CP,NQ,1,3,bvmt-sct-vn,bvmt-sct-vn,,,,,,
NQ 25/NQ-HĐND,NQ,3,4,kccn-sct-vn;qlks-sct-vn;quy-hoach-ct-vn,,,,,,,
NQ 48/NQ-HĐND,NQ,1,1,kccn-sct-vn,,,,,,,
NQ 5/NQ-HĐND,NQ,2,2,kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
NQ 51/NQ-HĐND,NQ,1,1,kccn-sct-vn,,,,,,,
NQ 66/NQ-CP,NQ,1,1,kccn-sct-vn,attp-sct-vn;hnh-sct-vn;qlks-sct-vn;xd-sct-vn,,,,,,
NQ 96/NQ-CP,NQ,1,1,kccn-sct-vn,,,,,,,
QCVN 01:2025/BTNMT,QCVN,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
QCVN 10:2025/BCA,QCVN,1,7,pccc-sct-vn,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;tkm-sct-vn,,,,,,
QCVN 26:2025/BNNMT,QCVN,1,1,bvmt-sct-vn,kccn-sct-vn,,,,,,
QCVN 27:2025/BNNMT,QCVN,1,1,bvmt-sct-vn,bvmt-sct-vn;kccn-sct-vn,,,,,,
QCVN 40:2025/BTNMT,QCVN,3,4,bvmt-sct-vn;kccn-sct-vn;qlks-sct-vn,,,,,,,
QCVN 07:2023/BXD,QCVN,1,3,kccn-sct-vn,,,,,,,
QCVN 06:2022/BXD,QCVN,3,17,kccn-sct-vn;kho-vlncn-sct-vn;pccc-sct-vn,bvmt-sct-vn,,,,,,
QCVN 01:2021/BXD,QCVN,2,9,bvmt-sct-vn;kccn-sct-vn,xp-sct-vn,,,,,,
QCVN 01:2020/BCT,QCVN,2,8,pccc-sct-vn;tkm-sct-vn,,,,,,,
QCVN 04:2020/BCT,QCVN,1,5,kho-vlncn-sct-vn,kho-vlncn-sct-vn;xp-sct-vn,,,,,,
QCVN 05A:2020/BCT,QCVN,3,17,hc-sct-vn;pccc-sct-vn;xp-sct-vn,hc-sct-vn,,,,,,
QCVN 05B:2020/BCT,QCVN,1,1,pccc-sct-vn,hc-sct-vn,,,,,,
QCVN 01:2019/BCT,QCVN,9,113,hl-vlncn-sct-vn;kho-vlncn-sct-vn;pccc-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,kho-vlncn-sct-vn,,,,,,
QCVN 02:2019/BCT,QCVN,1,5,pccc-sct-vn,,,,,,,
QCVN 03:2017/BCT,QCVN,1,5,tkm-sct-vn,,,,,,,
QCVN 04:2017/BCT,QCVN,3,11,qlks-sct-vn;sd-vlncn-sct-vn;tkm-sct-vn,,,,,,,
QCVN 02:2016/BCT,QCVN,1,5,tkm-sct-vn,,,,,,,
QCVN 04:2013/BCT,QCVN,1,1,pccc-sct-vn,,,,,,,
QCVN 01:2012/BCT,QCVN,1,1,kho-vlncn-sct-vn,,,,,,,
QCVN 01:2011/BCT,QCVN,2,11,qlks-sct-vn;tkm-sct-vn,,,,,,,
QCVN 02:2011/BCT,QCVN,2,9,qlks-sct-vn;tkm-sct-vn,,,,,,,
QCVN 40:2011/BTNMT,QCVN,1,1,kccn-sct-vn,,,,,,,
QCVN 06:2010/BXD,QCVN,1,2,kho-vlncn-sct-vn,,,,,,,
QCVN 04:2009/BCT,QCVN,2,15,qlks-sct-vn;tkm-sct-vn,,,,,,,
QCVN 02:2008/BCT,QCVN,1,1,kho-vlncn-sct-vn,,,,,,,
QCVN 14:2008/BTNMT,QCVN,1,1,kccn-sct-vn,,,,,,,
KL 10/KL-TT,KL,1,1,qlks-sct-vn,,,,,,,
KL 17/KL-TT,KL,1,1,qlks-sct-vn,,,,,,,
KL 18/KL-TT,KL,1,1,qlks-sct-vn,,,,,,,
KL 2/KL-TT,KL,1,1,qlks-sct-vn,,,,,,,
KL 2/KL-TTR,KL,1,1,qlks-sct-vn,,,,,,,
KL 45/KL-TT,KL,1,5,xp-sct-vn,,,,,,,
KL 48/KL-TT,KL,2,5,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,Kết luận thanh tra Hóa chất mỏ Tây Bắc — 3 vi phạm hết thời hiệu
