ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
NĐ 217/2025,NĐ,9,84,bvmt-sct-vn;hc-sct-vn;hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,hnh-sct-vn,05/8/2025,,,,,Kiểm tra chuyên ngành; TT 56/2025/TT-BCT hướng dẫn
NĐ 22/2025,NĐ,2,2,kccn-sct-vn;quy-hoach-ct-vn,,,,,,,
NĐ 239/2025,NĐ,2,6,kccn-sct-vn;vbhc-vn,,,,,,,
NĐ 24/2025,NĐ,1,11,xp-sct-vn,bvmt-sct-vn;qlks-sct-vn;xp-sct-vn,,,,,,"Sửa NĐ 98/2020 (Đ78, 81–88 biện pháp khắc phục)"
NĐ 243/2025,NĐ,1,2,xd-sct-vn,xd-sct-vn,,,,,,
NĐ 282/2025,NĐ,3,43,sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,
NĐ 290/2025,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 291/2025,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 312/2025,NĐ,1,2,kccn-sct-vn,,,,,,,
NĐ 320/2025,NĐ,1,3,kccn-sct-vn,,,,,,,
NĐ 371/2025,NĐ,1,1,attp-sct-vn,,,,,,,
NĐ 40/2025,NĐ,2,2,sct-laocai-org-vn;tkm-sct-vn,,,,,,,
NĐ 5/2025,NĐ,2,15,bvmt-sct-vn;kccn-sct-vn,,,,,,,
NĐ 56/2025,NĐ,1,1,quy-hoach-ct-vn,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,
NĐ 62/2025,NĐ,1,15,qlks-sct-vn,,,,,,,
NĐ 68/2025,NĐ,3,22,hnh-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-sct-vn,,,,,,
NĐ 78/2025,NĐ,1,7,vbhc-vn,,,,,,,
NĐ 79/2025,NĐ,1,3,vbhc-vn,,,,,,,
NĐ 85/2025,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 102/2024,NĐ,2,4,kccn-sct-vn;qlks-sct-vn,,,,,,,
NĐ 103/2024,NĐ,1,4,kccn-sct-vn,,,,,,,
NĐ 111/2024,NĐ,1,2,tkm-sct-vn,,,,,,,
NĐ 112/2024,NĐ,1,1,kccn-sct-vn,,,,,,,
NĐ 123/2024,NĐ,1,12,xp-sct-vn,xp-sct-vn,,,,,,
NĐ 149/2024,NĐ,2,10,kho-vlncn-sct-vn;sd-vlncn-sct-vn,kho-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,
NĐ 158/2024,NĐ,1,8,hnh-sct-vn,hnh-sct-vn,,,,,,
NĐ 161/2024,NĐ,5,53,hc-sct-vn;hnh-sct-vn;pccc-sct-vn;vbhc-vn;xp-sct-vn,hnh-sct-vn,,,,,,"Danh mục HHNH, vận chuyển HHNH — hnh-sct-vn"
NĐ 165/2024,NĐ,1,3,sd-vlncn-sct-vn,,,,,,,
NĐ 168/2024,NĐ,2,13,hnh-sct-vn;xp-sct-vn,xp-sct-vn,,,,,,Xử phạt giao thông đường bộ (vận chuyển HHNH)
NĐ 175/2024,NĐ,7,72,kccn-sct-vn;kho-vlncn-sct-vn;pccc-sct-vn;qlks-sct-vn;tkm-sct-vn;xd-sct-vn;xp-sct-vn,xd-sct-vn,,,,,,
