TT,Ten_don_vi,Ten_mo_xa,Dia_chi_huyen_cu,Loai_KS,So_GP,Ngay_cap,Ngay_het_han,Dien_tich_ha,Co_quan_cap,Ghi_chu,CS_m3,CS_tan,Hien_trang,Nop_TKM,TB_GDDH_mo,Ban_giao_moc,Tram_can,Camera,Ky_quy_PHMT,QD_thue_dat,GP_KT_nuoc,GPMT,GP_VLN
10,Công ty CP Tập đoàn hóa chất Đức Giang,"Mỏ Apatit khai trường 25, xã Quang Kim, Ban Qua, huyện Bát Xát","Khu công nghiệp Tằng Loỏng, Xã Tằng Loỏng, Tỉnh Lào Cai, Việt Nam",Apatit,216/GP-BTNMT,10/11/2020,10/11/2026,28.87,Bộ cấp,,,670000,,,,,,,,,,,
11,Công ty CP Công nghiệp Hoá chất Lào Cai,"Mỏ Apatit khai trường 19b, xã Đồng Tuyển, TP Lào Cai","Phường Lào Cai, Lào Cai",Apatit,298/GP-BTNMT,11/11/2022,11/11/2027,24.5,Bộ cấp,,,1500000,,,,,,,,,,,
12,Công ty CP Vật tư Nông sản,"Mỏ Apatit khu Phú Nhuận -X Phú Nhuận-H. Bảo Thắng, xã Văn Sơn, Võ Lao-H. Văn Bàn","Xã Văn Bàn, Lào Cai",Apatit,2188/GP-BTNMT,09/12/2017,09/12/2047,45.74,Bộ cấp,,,250000,,,,,,,,,,,
13,Tổng Công ty Khoáng sản TKV - CTCP,KT lộ thiên mỏ đồng Sin Quyền - Xã Bản Vược và Cốc Mỳ H. Bát Xát (200ha),"Thôn 3, Xã Bản Vược, Huyện Bát Xát, Tỉnh Lào Cai, Việt Nam",Đồng,1868/GP-BTNMT (thay thế GP:3101/GP-ĐCKS ngày 26/12/2001; QĐ điều chỉnh GO số 656/QĐ-BTNMT ngày 23/3/2023 (bãi bỏ phụ lục 3 - GP số 1868),08/02/2017,08/02/2027,200,Bộ cấp,,,2000000,,,,,,,,,,,
,,Khai thác hầm lò quặng đồng mỏ Vi Kẽm - X. Cốc Mỳ - H. Bát Xát (155ha),,Đồng,1688/GP-BTNMT,07/12/2017,07/12/2036,155,Bộ cấp,,,197543,,,,,,,,,,,
14,Công ty CP đồng Tả Phời - Vinacomin,"Mỏ đồng Tả Phời, xã Tả Phời - TP Lào Cai","Phường Cam Đường, Lào Cai",Đồng,2681/GP-BTNMT,27/12/2013,27/12/2026,200,Bộ cấp,,,86898,,,,,,,,,,,
15,Công ty CP CARAT,"Mỏ graphit Nậm Thi - P.Lào Cai và Xã Bản Phiệt, huyện Bảo Thắng","Phường Lào Cai, Lào Cai",Grafit,95/GP-BTNMT,21/01/2011,21/01/2033,56.84,Bộ cấp,,,100000,,,,,,,,,,,
16,Công ty CP Khoáng sản Sông Đà Lào Cai,"Mỏ graphit Bảo Hà, xã Bảo Hà, huyện Bảo Yên","Phường Lào Cai, Lào Cai",Grafit,233/GP-BTNMT,23/01/2018,23/07/2033,25.1,Bộ cấp,,,138600,,,,,,,,,,,
17,Công ty CP khoáng sản 3,"Mỏ sắt Làng Cọ (X Văn Sơn) - Làng Vinh (xã Võ Lao), H Văn Bàn","Số nhà 162, đường Duyên Hải, Phường Lào Cai, Tỉnh Lào Cai, Việt Nam",Sắt,1150/GP-BTNMT,18/05/2015,18/05/2033,128.11,Bộ cấp,,,48000,,,,,,,,,,,
,,"Mỏ sắt Kíp Tước - X. Hợp Thành, TP Lào Cai",,Sắt,52/GP-BTNMT (Gia hạn Giấy phép 75/GP-BTNMT),15/02/2024,15/04/2026,8.4,Bộ cấp,,,121000,,,,,,,,,,,
18,Cty TNHH KS và LK Việt Trung,"Mỏ đá Mai Đào, xã Thượng Hà - H. Bảo Yên",Bảo Yên,Đá XD,1788/GP-UBND ,25/05/2017,25/05/2027,3.6,Tỉnh cấp,,,45000,,,,,,,,,,,
20,Công ty CP Phân lân nung chảy Lào Cai,"Mỏ Serpentinit - Xã Thượng Hà, H. Bảo Yên","Số nhà 348, đường Nhạc Sơn, Phường Lào Cai, Tỉnh Lào Cai, Việt Nam",Serpentin,2304/GP-BTNMT,15/11/2013,30/06/2040,4.5,Bộ cấp,,,60000,,,,,,,,,,,
,,"KT 32 và Làng Cáng 2 thuộc xã Tả Phời, Hợp Thành, TP. Lào Cai",,Apatit,939/GP-BTNMT,16/04/2019,16/04/2033,49.39,Bộ cấp,,,350000,,,,,,,,,,,
21,Công ty CP khoáng sản Lào Cai,"Mỏ Caolanh - felspat Làng Giàng, xã Làng Giàng, H. Văn Bàn",Văn Bàn,Caolanh – felspat,2679/GP-BTNMT,27/12/2013,27/12/2033,30.77,Bộ cấp,,,300000,,,,,,,,,,,
22,Công ty CP Khoáng sản Sông Hồng Lào Cai,"Mỏ Cao lanh Sơn Mãn, xã Vạn Hòa - TP Lào Cai","Thôn Sơn Mãn, Phường Lào Cai, Tỉnh Lào Cai, Việt Nam",Cao lanh – felspat,2494/GP-BTNMT (QĐ điều chỉnh GP số 139/QĐ-BTNMT ngày 18/01/2019; số 2555/QĐ-BTNMT ngày 05/10/2022),28/10/2016,28/10/2033,14.6,Bộ cấp,,,7149,,,,,,,,,,,
23,"Công ty CP khai thác, chế biến Khoáng sản Lào Cai","Mỏ sắt Ba Hòn - Làng Lếch (thân quặng: 8, 9, 10, 11, 12, 13, 13A) - Xã Sơn Thuỷ, H. Văn Bàn","Xã Văn Bàn, Lào Cai",Sắt,1408/GP-BTNMT,29/08/2012,29/08/2028,68.1,Bộ cấp,,,117200,,,,,,,,,,,
24,Công ty TNHH TM Tây Bắc 1,Mỏ đá Tân Quang xã Xuân Quang- BT,,Đá XD,5850/GP-UBND ,26/12/2017,14/03/2026,4.83,Tỉnh cấp,,,45000,,,,,,,,,,,
25,Công ty CP nghỉ dưỡng Pom Hán,"Khu vực nước khoáng nóng Pom Hán, P Bình Minh, TP Lào Cai","Tổ 21, Phường Cam Đường, Tỉnh Lào Cai, Việt Nam",Nước khoáng nóng,2920/GP-BTNMT,20/11/2017,20/11/2047,Chiều sâu LK 95,,,Lưu lượng được phê duyệt 371,,,,,,,,,,,,
26,Công ty TNHH Phúc Bình,"Thôn Nậm Bó, xã Làng Giàng, H Văn Bàn","Xã Văn Bàn, Lào Cai",Felspat,3988/GP-UBND ,11/10/2016,11/10/2030,6.05,Tỉnh cấp,,,94050,,,,,,,,,,,
27,Công ty TNHH TM Lương Hà,"Mỏ đá Bản Cầm Xã Bản Cầm,  H. Bảo Thắng",,Đá XD,3922/GP-UBND ,12/06/2018,12/06/2028,11.5865,Tỉnh cấp,,200000,,,,,,,,,,,,
28,Công ty CP Phú Hà,"Mỏ đá thôn Bản Cầm, xã Bản Cầm, huyện Bảo Thắng","Thôn Bản Cầm, Xã Phong Hải, Tỉnh Lào Cai,Việt Nam",Đá XD,3041/GP-UBND,12/05/2022,06/05/2035,3.87,Tỉnh cấp,,200000,,,,,,,,,,,,
29,Công ty TNHH MTV Trung Anh,"Mỏ đá thôn Làng Vinh, X. Võ Lao, H. Văn Bàn"," Số nhà 020, đường Gia Lan, Xã Văn Bàn, Tỉnh Lào Cai, Việt Nam",Đá XD,"2827/GP-UBND 
(gia hạn GP số 2838/GP-UBND ngày 20/6/2017) 
",08/09/2021,05/04/2031,14,Tỉnh cấp,,150000,,,,,,,,,,,,
30,DNTN Đức Tiến ,"Mỏ sét khu vực xã Bản Qua và Bản Vược, H.Bát Xát",,Sét,582/GP-UBND,03/04/2016,03/04/2026,18.7,Tỉnh cấp,,70000,,,,,,,,,,,,
32,Công ty CP TM Thành Công,"Thôn Soi Giá, xã Gia Phú, H. Bảo Thắng",,Sét,3457/GP-UBND ,08/02/2017,08/02/2029,4,Tỉnh cấp,,20000,,,,,,,,,,,,
33,Công ty CP SX vật liệu gốm XD Tân An,"Mỏ đất sét thôn Tân Sơn và thôn Mai Hồng 1, xã Tân An, huyện Văn Bàn",,Sét,3395/GP-UBND ,16/10/2019,16/10/2027,9.58,Tỉnh cấp,,40000,,,,,,,,,,,,
34,Công ty TNHH Anh Nguyên,"Mỏ đá Thôn Tả Hồ, xã Tà Chải, H Bắc Hà",Bắc Hà,Đá XD,2021/GP-UBND,16/08/2012,30/11/2025,1.35,Tỉnh cấp,,45000,,,,,,,,,,,,
,,"Mỏ đá thôn Bản Làn, xã Lùng Vai, huyện Mường Khương","Xã Mường Khương, Lào Cai",Đá XD,3599/GP-UBND ,11/06/2018,11/06/2027,3.5,Tỉnh cấp,,15000,,,,,,,,,,,,
35,Công ty CP khai thác VLXD Miền Bắc (chuyển đổi từ Cty TNHH MTV Thiên Thanh),"Mỏ đá Thôn Toòng Già, TT Phong Hải, H. Bảo Thắng","Xã Bảo Thắng, Lào Cai",Đá XD,QĐ điều chỉnh số 131/QĐ-UBND ngày 16/01/2023 (Điều chỉnh GP số 70/GP-UBND  ngày 12/01/2016) ,16/01/2023,07/05/2031,4.5,Tỉnh cấp,,200000,,,,,,,,,,,,
36,Công ty TNHH MTV Duy Hiếu,"Điểm đá Bản Mỏ Đá, xã Tân Dương, H Bảo Yên",Bảo Yên,Đá XD,151/GP-UBND ,19/01/2016,19/01/2031,2.5,Tỉnh cấp,,20000,,,,,,,,,,,,
37,Công ty TNHH XDTH Minh Đức,"Điểm mỏ đá thôn Bắc Ngầm, xã Xuân Quang, H Bảo Thắng",Bảo Thắng,Đá XD (gia hạn),"1015/GP-UBND 
(QĐ điều chỉnh GP, thời gian số 1740/QĐ-UBND 12/6/2018)
",04/08/2016,21/06/2026,3.3,Tỉnh cấp,,96000,,,,,,,,,,,,
38,Công ty TNHH MTV XD 189,"Thôn Bản Mẹt Ngoài, X.Bảo Nhai, H. Bắc Hà",Bắc Hà,Đá quarzit hàm lượng thấp làm VLXDTT  ,2352/GP-UBND,29/07/2015,21/06/2026,9.5,Tỉnh cấp,,35000,,,,,,,,,,,,
39,Công ty TNHH TMTH Thái Bảo,"Thôn Nà Lộc và KV Đán Đăm, xã Khánh Yên Thượng - H Văn Bàn",Văn Bàn,Đá XD,"2917/QĐ-UBND ngày 13/11/2024
(2912/GP-UBND ngày 06/9/2016) 
",13/11/2024,13/11/2034,7.63,Tỉnh cấp,,50000,,,,,,,,,,,,
40,Công ty TNHH Quang Hưng,"Mỏ đá Na Pủ Sáo, thôn Na Khuy, thị trấn Mường Khương",Mường Khương,Đá XD,526/GP-UBND ,20/02/2017,20/02/2027,1.5,Tỉnh cấp,,20000,,,,,,,,,,,,
41,Công ty TNHH Khoáng sản Bản Cầm,"Mỏ đá Thôn Bản Cầm, xã Bản Cầm, H. Bảo Thắng",Bảo Thắng,Đá XD,1853/GP-UBND ngày 23/7/2024 (Gia hạn các GP số:189/GP-UBND ngày 07/4/2011; 238/GP-UBND ngày 25/1/2016; 1099/GP-UBND ngày 15/4/2016; 779/GP-UBND ngày 29/3/2019; 132/GP-UBND ngày 20/01/2022; 3920/QĐ-UBND ngày 3/11/2021; 164/QĐ-UBND ngày 25/1/2024),23/07/2024,15/03/2029,3.88,Tỉnh cấp,,200000,,,,,,,,,,,,
42,Công ty CP Khoáng sản Phúc Đạt ,"Đá vôi dolomit làm VLXDTT thôn Thành Châu, xã Hợp Thành, TP Lào Cai",TP. Lào Cai,Đá XD,3921/GP-UBND,20/11/2019,20/11/2045,1.65,Tỉnh cấp,,15000,,,,,,,,,,,,
43,Công ty TNHH VLXD Sơn Thạch,"Mỏ đá Km38, thôn Bắc Ngầm, xã Xuân Quang, H. Bảo Thắng",Bảo Thắng,Đá XD,3659/GP-UBND ,10/12/2021,30/12/2029,3,Tỉnh cấp,,35000,,,,,,,,,,,,
44,Công ty TNHH MTV Hưng Phát,"Mỏ đá thôn Mã Tuyển, Xã Mường Khương, H. Mường Khương",Mường Khương,Đá XD,3951/GP-UBND (gia hạn GP 2522/GP-UBND 10/9/2010 ),11/08/2021,13/07/2027,2.56,Tỉnh cấp,,30000,,,,,,,,,,,,
45,Công ty CP XD giao thông 18 ,"Thôn Khe Bàn 2, xã Tân An, H. Văn Bàn",Văn Bàn,Đá XD,"4716/GP-UBND
(Gia hạn GP số 3049/GP-UBND ngày 19/9/2016)
",31/12/2021,30/08/2025,3.24,Tỉnh cấp,,60000,,,,,,,,,,,,
46,Công ty TNHH MTV XD Quốc Đạt,"Trên suối Chăn thuộc khu vực thôn 2, thôn 4 - xã Hòa Mạc và thôn 1, thôn 13 - xã Dương Quỳ, huyện Văn Bàn",Văn Bàn,Cát XD,4511/GP-UBND ,19/10/2017,19/10/2026,10,Tỉnh cấp,,30000,,,,,,,,,,,,
47,Công ty CP Vạn lộc Vĩnh Phúc,Trên sông Chảy thuộc xã Việt Tiến và Long Khánh - H. Bảo Yên,Bảo Yên,Cát XD,5651/GP-UBND ,15/12/2017,15/12/2027,18.9,Tỉnh cấp,,30000,,,,,,,,,,,,
48,Công ty TNHH MTV ĐTXD Minh Ngọc,"Trên sông Hồng thuộc thôn Đồng Tâm, An Tiến và thôn Nam Hải, xã Sơn Hải, huyện Bảo Thắng",Bảo Thắng,Cát XD,233/GP-UBND ,24/01/2018,24/07/2028,6.95,Tỉnh cấp,,15000,,,,,,,,,,,,
