TT,Ten_don_vi,Ten_mo_xa,Dia_chi_huyen_cu,Loai_KS,So_GP,Ngay_cap,Ngay_het_han,Dien_tich_ha,Co_quan_cap,Ghi_chu,CS_m3,CS_tan,Hien_trang,Nop_TKM,TB_GDDH_mo,Ban_giao_moc,Tram_can,Camera,Ky_quy_PHMT,QD_thue_dat,GP_KT_nuoc,GPMT,GP_VLN
22,Công ty Cổ phần Khoáng sản Đại Phát,"Bản Tát, xã Châu Quế Hạ (cấp lại)","Thôn Khe Pháo, Xã Châu Quế, Tỉnh Lào Cai ",Quặng sắt,402/GP-UBND,23/04/2012,23/04/2029,9.9,Tỉnh cấp,,,45000,Đang KT,a,a,a,,,a,a,,,a
23,Công ty Cổ phần Khoáng sản Đức Thịnh,"Điểm cát, sỏi sông Chảy, xã An Lạc  (khu vực trúng đấu giá)",Lục Yên,"Cát, sỏi",2605/GP-UBND,04/12/2018,04/12/2039,12.1,Tỉnh cấp,,30000,,Đang KT,,a,a,,,,a,,,
24,Công ty Cổ phần Khoáng sản Hòa Yên,Quặng sắt Kim Bình (02 điểm) xã Hưng Thịnh,"Phường Âu Lâu, tỉnh Lào Cai",Quặng sắt,956/GP-UBND,22/06/2022,22/06/2035,20.2,Tỉnh cấp,,,20000,Chưa KT,,,a,,,,,,,
25,Công ty Cổ phần Khoáng sản Hưng Phát,"Quặng sắt Phương Đạo - Khe Đao (05 điểm ), xã Lương Thịnh, xã Hưng Khánh và xã Hồng Ca","Thôn Phương Đạo 2, Xã Lương Thịnh, Tỉnh Lào Cai, Việt Nam ",Quặng sắt,1336/GP-UBND,12/08/2022,12/02/2031,8.04,Tỉnh cấp,,,20000,Chưa KT,,a,,,,,,,,
26,Công ty Cổ phần Khoáng sản Phan Thanh,Xã Phan Thanh,"Thôn Bản Ro, Xã Tân Lĩnh, Tỉnh Lào Cai, Việt Nam",Đá vôi trắng,312/GP-BTNMT,16/02/2016,16/02/2046,26.6,Bộ cấp,,107300,109620,Đang KT,a,a,a,,,a,a,,,
27,Công ty Cổ phần Khoáng sản Simco - Fansipan,"Đá hoa trắng Mông Sơn VII, xã Mông Sơn","Khu Công nghiệp Phía Nam, Phường Văn Phú, Lào Cai",Đá vôi trắng,2644/GP-BTNMT,21/11/2014,21/11/2044,17.6,Bộ cấp,,,200000,Đang XDCB; Chưa KT,a,a,a,,,,a,,,
28,Công ty Cổ phần Khoáng sản Tây Bắc YB,Xã Nậm Búng và xã Gia Hội (chuyển nhượng) nay là xã Gia Hội,"Thôn Nậm Pươi, Xã Gia Hội, Tỉnh Lào Cai, Việt Nam",Thạch anh,222/GP-UBND,22/02/2023,15/12/2029,9.2,Tỉnh cấp,,20000,,Đang KT,a,a,a,,,a,a,,,
29,Công ty Cổ phần Khoáng sản Thiên Bảo,"Đồng Khe Cam, xã An Lương","Thôn Khe Trầu (Khe Cam cũ), Xã Mỏ Vàng, Tỉnh Lào Cai, Việt Nam",Quặng đồng,1917/GP-BTNMT,08/09/2014,08/09/2037,14.1,Bộ cấp,,,100000," Chưa KT
(Đang hoàn thiện thủ tục về đất)",a,-,,,,,,,,
30,Công ty Cổ phần Khoáng sản và Xây dựng Hoàng Phát,"Điểm cát, sỏi sông Chảy, xã Tô Mậu và xã Minh Chuẩn  (khu vực trúng đấu giá)",Lục Yên,"Cát, sỏi", 1330/GP-UBND,19/07/2018,19/01/2034,2.1,Tỉnh cấp,,8500,,Đang KT,,a,a,,,,,,,
31,Công ty Cổ phần Khoáng sản Viglacera,"Phai Hạ, xã Minh Bảo (gia hạn)",Yên Bái ,Felspat,248/GP-BTNMT,18/07/2023,18/07/2025,4.95,Bộ cấp,Hết hạn,,52500,Đang KT,a,a,a,a,a,a,a,,,a
